id,location_id,attention,address_1,address_2,city,region,state_province,postal_code,country,address_type
addr-899,loc-899,NA,2220 East 17th Street,NA,Des Moines,NA,IA,50316,US,physical
addr-900,loc-900,NA,1605 Rhomberg Avenue,NA,Waterloo,NA,IA,50703,US,physical
addr-901,loc-901,NA,4010 Kimmel Drive,NA,Davenport,NA,IA,52802,US,physical
addr-4441,loc-4441,NA,204 South Prairie Street,NA,Shell Rock,NA,IA,50670,US,physical
addr-4442,loc-4442,NA,706 Locust Street,NA,Dumont,NA,IA,50625,US,physical
addr-4443,loc-4443,NA,117 West Bremer Ave.,NA,Waverly,NA,IA,50677,US,physical
addr-4444,loc-4444,NA,117 West Bremer Avenue,NA,Waverly,NA,IA,50677,US,physical
addr-4445,loc-4445,NA,115 Woodbridge,NA,Nashua,NA,IA,50658,US,physical
addr-4446,loc-4446,NA,102 N Main Street,NA,Charles City,NA,IA,50616,US,physical
addr-4447,loc-4447,NA,1302 W. 11th Street,NA,Cedar Falls,NA,IA,50613,US,physical
addr-4448,loc-4448,NA,723 Washington St,NA,Cedar Falls,NA,IA,50613,US,physical
addr-4449,loc-4449,NA,705 Main Street,NA,Cedar Falls,NA,IA,50613,US,physical
addr-4450,loc-4450,NA,110 W. Railroad,NA,Storm Lake,NA,IA,50588,US,physical
addr-4451,loc-4451,NA,921 S. 2 nd Street,NA,Cherokee,NA,IA,51012,US,physical
addr-4452,loc-4452,NA,611 Clark Ave,NA,Ames,NA,IA,50010,US,physical
addr-4453,loc-4453,NA,411 Third Street (next to Bethlehem Lutheran Church),NA,Slater,NA,IA,50244,US,physical
addr-4454,loc-4454,NA,204 W Broad St,NA,Story City,NA,IA,50248,US,physical
addr-4455,loc-4455,NA,520 NW 36th St,NA,Ankeny,NA,IA,50023,US,physical
addr-4456,loc-4456,NA,439 Main Street,NA,Jewell,NA,IA,50130,US,physical
addr-4457,loc-4457,NA,207 Amanda Street,NA,Radcliffe,NA,IA,50230,US,physical
addr-4458,loc-4458,NA,354 Public Square,NA,Greenfield,NA,IA,50849,US,physical
addr-4459,loc-4459,NA,"2002 State Street, Suite 2",NA,Guthrie Center,NA,IA,50115,US,physical
addr-4460,loc-4460,NA,100 Cass Street,NA,Griswold,NA,IA,51535,US,physical
addr-4461,loc-4461,NA,5870 Merle Hay Road,NA,Johnston,NA,IA,50131,US,physical
addr-4462,loc-4462,NA,2309 Euclid Avenue,NA,Des Moines,NA,IA,50310,US,physical
addr-4463,loc-4463,NA,2220 E 17th Street,NA,Des Moines,NA,IA,50316,US,physical
addr-4464,loc-4464,NA,1618 6th Ave,NA,Des Moines,NA,IA,50314,US,physical
addr-4465,loc-4465,NA,1526 MLK Jr. Pkwy,NA,Des Moines,NA,IA,50314,US,physical
addr-4466,loc-4466,NA,1216 East 25th Court,NA,Des Moines,NA,IA,50317,US,physical
addr-4467,loc-4467,NA,1815 Hubbell Avenue,NA,Des Moines,NA,IA,50316,US,physical
addr-4468,loc-4468,NA,"7611 Douglas Ave., Ste. 35",NA,Urbandale,NA,IA,50322,US,physical
addr-4469,loc-4469,NA,1420 Mulberry Street,NA,Des Moines,NA,IA,50309,US,physical
addr-4470,loc-4470,NA,322 West 3rd,NA,Carroll,NA,IA,51401,US,physical
addr-4471,loc-4471,NA,804 N. Main,NA,Carroll,NA,IA,51401,US,physical
addr-4472,loc-4472,NA,1212 8th Avenue,NA,Belle Plaine,NA,IA,52208,US,physical
addr-4473,loc-4473,NA,811 D Ave.,NA,Vinton,NA,IA,52349,US,physical
addr-4474,loc-4474,NA,210 South Main Street,NA,North English,NA,IA,52316,US,physical
addr-4475,loc-4475,NA,North Garry Owen Hall,NA,Bernard,NA,IA,52032,US,physical
