id,service_id,location_id,phone_id,name,code,note
lang-1-english,svc-1,loc-1,NA,English,NA,NA
lang-2-english,svc-2,loc-2,NA,English,NA,NA
lang-3-english,svc-3,loc-3,NA,English,NA,NA
lang-4-english,svc-4,loc-4,NA,English,NA,NA
lang-5-english,svc-5,loc-5,NA,English,NA,NA
lang-6-english,svc-6,loc-6,NA,English,NA,NA
lang-7-english,svc-7,loc-7,NA,English,NA,NA
lang-8-english,svc-8,loc-8,NA,English,NA,NA
lang-9-english,svc-9,loc-9,NA,English,NA,NA
lang-10-english,svc-10,loc-10,NA,English,NA,NA
lang-11-english,svc-11,loc-11,NA,English,NA,NA
lang-12-english,svc-12,loc-12,NA,English,NA,NA
lang-13-english,svc-13,loc-13,NA,English,NA,NA
lang-14-english,svc-14,loc-14,NA,English,NA,NA
lang-15-english,svc-15,loc-15,NA,English,NA,NA
lang-16-english,svc-16,loc-16,NA,English,NA,NA
lang-17-english,svc-17,loc-17,NA,English,NA,NA
lang-18-english,svc-18,loc-18,NA,English,NA,NA
lang-19-english,svc-19,loc-19,NA,English,NA,NA
lang-20-english,svc-20,loc-20,NA,English,NA,NA
lang-21-english,svc-21,loc-21,NA,English,NA,NA
lang-22-english,svc-22,loc-22,NA,English,NA,NA
lang-23-english,svc-23,loc-23,NA,English,NA,NA
lang-24-english,svc-24,loc-24,NA,English,NA,NA
lang-25-english,svc-25,loc-25,NA,English,NA,NA
lang-26-english,svc-26,loc-26,NA,English,NA,NA
lang-27-english,svc-27,loc-27,NA,English,NA,NA
lang-28-english,svc-28,loc-28,NA,English,NA,NA
lang-29-english,svc-29,loc-29,NA,English,NA,NA
lang-30-english,svc-30,loc-30,NA,English,NA,NA
lang-31-english,svc-31,loc-31,NA,English,NA,NA
lang-32-english,svc-32,loc-32,NA,English,NA,NA
lang-33-english,svc-33,loc-33,NA,English,NA,NA
lang-34-english,svc-34,loc-34,NA,English,NA,NA
lang-35-english,svc-35,loc-35,NA,English,NA,NA
