name,requirements,details,full_address,short_address,street,city,state,zip,phone,hours,tags
07/04 Community Cupboard Mobile,Requirements: None.,"Details: Saturday, 08:30 AM - While Supplies Last","Countryside Church: 13130 Faith Plza, Omaha, NE 68144","13130 Faith Plza, Omaha, NE 68144",13130 Faith Plza,Omaha,NE,68144,NA,,Mobile Pantry
07/07 Ralston High School Mobile,Requirements: None.,"Details: Tuesday, 05:00 PM - While Supplies Last","Ralston High School-Front Parking Lot: 8969 Park Dr, Ralston, NE 68127","8969 Park Dr, Ralston, NE 68127",8969 Park Dr,Ralston,NE,68127,NA,,Mobile Pantry
"07/08 Cass, IA County - Atlantic Mobile",Requirements: None.,"Details: Wednesday, 04:00 PM - While Supplies Last","Cass County Community Center: 805 West 10th St, Atlantic, IA 50022","805 West 10th St, Atlantic, IA 50022",805 West 10th St,Atlantic,IA,50022,NA,,Mobile Pantry
07/08 Douglas County West Elementary School Mobile,Requirements: None.,"Details: Wednesday, 04:00 PM - While Supplies Last","400 S Center St, Valley, NE 68064","400 S Center St, Valley, NE 68064",400 S Center St,Valley,NE,68064,NA,,Mobile Pantry
07/09 Lexington Mobile,Requirements: None.,"Details: Thursday, 03:00 PM - While Supplies Last","Dawson County Fairgrounds: 1000 Plum Creek PRKWY, Lexington, NE 68850","1000 Plum Creek PRKWY, Lexington, NE 68850",1000 Plum Creek PRKWY,Lexington,NE,68850,NA,,Mobile Pantry
07/09 Tabitha's Thread Mobile,Requirements: None.,"Details: Thursday, 02:45 PM - While Supplies Last","Cass County Fairgrounds: 8420 144th St, Weeping Water, NE 68463","8420 144th St, Weeping Water, NE 68463",8420 144th St,Weeping Water,NE,68463,NA,,Mobile Pantry
07/10 Faith Food Mobile,Requirements: None.,"Details: Friday, 08:00 AM - While Supplies Last","Immanuel Lutheran Church: 27053 Co Rd 12, Hooper, NE 68031","27053 Co Rd 12, Hooper, NE 68031",27053 Co Rd 12,Hooper,NE,68031,NA,,Mobile Pantry
07/11 Loaves and Fishes Mobile,Requirements: None.,"Details: Saturday, 09:30 AM - While Supplies Last","College Park: 3180 W HWY 34, Grand Island, NE 68801","3180 W HWY 34, Grand Island, NE 68801",3180 W HWY 34,Grand Island,NE,68801,NA,,Mobile Pantry
07/11 Long Pine Mobile,Requirements: None.,"Details: Friday, 08:30 AM - While Supplies Last","The Palace: 485 N Main St, Long Pine, NE 69217","485 N Main St, Long Pine, NE 69217",485 N Main St,Long Pine,NE,69217,NA,,Mobile Pantry
07/11 Simon House Mobile,Requirements: None.,"Details: Saturday, 10:00 AM - While Supplies Last","1853 10th Ave, Columbus, NE 68601","1853 10th Ave, Columbus, NE 68601",1853 10th Ave,Columbus,NE,68601,NA,,Mobile Pantry
07/11 Springview Mobile,Requirements: None.,"Details: Saturday, 09:30 AM - While Supplies Last","Springview Methodist Church: 205 S Oak St, Springview, NE 68778","205 S Oak St, Springview, NE 68778",205 S Oak St,Springview,NE,68778,NA,,Mobile Pantry
07/17 CAP OF MID: Kearney - Minden Mobile,Requirements: None.,"Details: Friday, 09:30 AM - While Supplies Last","Minden United Methodist Church: 340 Newell Ave, Minden, NE 68959","340 Newell Ave, Minden, NE 68959",340 Newell Ave,Minden,NE,68959,NA,,Mobile Pantry
07/18 Salvation Army West Point Mobile,Requirements: None.,"Details: Saturday, 08:15 AM - While Supplies Last","Nielsen Center: 200 Anna Stalp Ave, West Point, NE 68788","200 Anna Stalp Ave, West Point, NE 68788",200 Anna Stalp Ave,West Point,NE,68788,NA,,Mobile Pantry
07/18 United Harvest Mobile,Requirements: None.,"Details: Saturday, 09:45 AM - While Supplies Last","First Presbyterian Church PEACE Center: 622 N. Lincoln Ave, Hastings, NE 68901","622 N. Lincoln Ave, Hastings, NE 68901",622 N. Lincoln Ave,Hastings,NE,68901,NA,,Mobile Pantry
07/18 United Methodist Church Mobile,Requirements: None.,"Details: Saturday, 10:30 AM - While Supplies Last","Central City Airport: 1346 Ormsby Rd, Central City, NE 68826","1346 Ormsby Rd, Central City, NE 68826",1346 Ormsby Rd,Central City,NE,68826,NA,,Mobile Pantry
07/21 Antelope County Mobile,Requirements: None.,"Details: Tuesday, 02:00 PM - While Supplies Last","American Legion Club: 115 W 3rd St, Neligh, NE 68756","115 W 3rd St, Neligh, NE 68756",115 W 3rd St,Neligh,NE,68756,NA,,Mobile Pantry
07/21 Kreft Primary School Mobile,Requirements: None.,"Details: Tuesday, 04:30 PM - While Supplies Last","3206 Renner Dr, Council Bluffs, IA 51501","3206 Renner Dr, Council Bluffs, IA 51501",3206 Renner Dr,Council Bluffs,IA,51501,NA,,Mobile Pantry
07/22 United Way of Western Nebraska Box Butte Mobile,Requirements: None.,Details: Wednesday 4:00 PM (MST) - While Supplies Last,"Senior Center: 212 Yellowstone Ave, Alliance, NE 69301","212 Yellowstone Ave, Alliance, NE 69301",212 Yellowstone Ave,Alliance,NE,69301,(308) 635-2522,,Mobile Pantry
07/24 Plattsmouth Bible Church Mobile,Requirements: None.,"Details: Friday, 04:00 PM - While Supplies Last","1602 1st Ave, Plattsmouth, NE 68048","1602 1st Ave, Plattsmouth, NE 68048",1602 1st Ave,Plattsmouth,NE,68048,NA,,Mobile Pantry
07/25 All Saints Episcopal Church Mobile,Requirements: None.,"Details: Saturday, 08:00 AM - While Supplies Last","9302 Blondo St, Omaha, NE 68134","9302 Blondo St, Omaha, NE 68134",9302 Blondo St,Omaha,NE,68134,NA,,Mobile Pantry
